Field Label,Data Type,Length,Required,Unique,Pick List Values,Description
Case Study Title,Single Line,200,Yes,Yes,,Main title of the case study
Case Study Slug,Single Line,200,Yes,Yes,,URL-friendly version of the title
Client Name,Single Line,100,No,No,,Name of the client
Industry,Pick List,,No,No,"E-commerce;Healthcare;Financial Services;Manufacturing;Education;Technology;Real Estate",Client industry
Challenge,Multi Line,1000,No,No,,Description of the challenge faced
Solution,Multi Line,1000,No,No,,Description of the solution provided
Performance Improvement,Single Line,50,No,No,,Performance improvement achieved
Cost Reduction,Single Line,50,No,No,,Cost reduction achieved
Development Time Saved,Single Line,50,No,No,,Development time saved
Other Results,Multi Line,500,No,No,,Other results and benefits
Technologies Used,Multi Select,,No,No,"Node.js;NEXUS;Zoho CRM;Microservices;API Gateway;OAuth 2.0;Real-time Monitoring",Technologies used in the solution
Timeline,Single Line,50,No,No,,Project timeline
Featured Image URL,URL,450,No,No,,URL of the featured image
Published Date,Date/Time,,No,No,,Publication date and time
Status,Pick List,,No,No,"Draft;Published;Archived",Publication status 
